,P1eff,P2eff,P3eff,P4eff,P5eff,SSP1,SSP2,SSP3,SSP4,SSP5,cc,tri,elev,For_Evergr,cell_id
250,36,36,12,0,0,P1,P2,P3,P4,P5,42.51133026,1.340299114,1334.854317,0.904,200
251,36,36,12,0,0,P1,P2,P3,P4,P5,31.79790356,1.148337249,1279.818981,0.758,200
252,36,36,9,0,0,P1,P2,P3,P4,P5,66.46335846,1.079681005,1333.150977,0.979,201
253,34,36,12,0,0,P1,P2,P3,P4,P5,55.61948568,1.554626785,1296.758865,0.966,201
255,36,32,0,0,0,P1,P2,P3,P4,P5,69.30567777,2.68034972,1557.531915,1,202
256,36,36,8,0,0,P1,P2,P3,P4,P5,44.7116513,1.563302006,1467.021467,0.769,203
257,0,20,36,36,36,P1,P2,P3,P4,P5,37.11548117,1.918760166,1876.212014,1,204
258,0,20,36,36,36,P1,P2,P3,P4,P5,36.60209205,2.168127598,1923.5375,1,204
260,36,36,5,0,0,P1,P2,P3,P4,P5,57.63973205,0.842016085,1736.313933,0.994,205
261,36,12,0,0,0,P1,P2,P3,P4,P5,66.59305003,0.955178023,1184.680927,0.985,208
262,36,36,1,0,0,P1,P2,P3,P4,P5,64.0478779,1.393344479,1136.656085,1,208
263,36,36,36,36,24,P1,P2,P3,P4,P5,36.56144023,1.243199892,1899.097002,0.906,210
264,36,36,36,36,24,P1,P2,P3,P4,P5,33.8426449,0.710306344,1915.385027,0.941,210
266,36,36,18,0,0,P1,P2,P3,P4,P5,46.98494669,2.015272004,1753.4,0.953,212
267,36,36,36,36,32,P1,P2,P3,P4,P5,37.1790795,2.607739924,1302.135957,0.624,213
268,36,30,0,0,0,P1,P2,P3,P4,P5,56.69845576,3.767192301,1316.248239,0.357,214
269,36,32,0,0,0,P1,P2,P3,P4,P5,58.45283414,3.701495572,1459.516014,0.772,214
270,36,29,0,0,0,P1,P2,P3,P4,P5,52.4706499,3.28160582,1396.939502,0.876,215
271,36,36,0,0,0,P1,P2,P3,P4,P5,47.01651683,1.654549973,1409.014134,0.869,215
272,36,36,14,0,0,P1,P2,P3,P4,P5,65.90075377,1.314454184,1623.310954,1,217
273,36,36,16,0,0,P1,P2,P3,P4,P5,61.27282245,1.810003615,1606.908766,0.992,217
