,P1,P2,P3,P4,P5
838,1,1,1,0,1
839,0,0,0,0,0
840,1,1,1,1,0
841,0,0,0,0,NA
842,0,0,0,0,NA
843,0,0,0,0,NA
844,0,0,0,0,NA
845,0,0,0,0,0
846,1,1,1,1,0
847,1,1,0,0,1
848,1,1,1,1,0
849,1,1,0,0,NA
850,0,0,0,0,NA
851,0,0,0,0,0
852,0,0,0,0,0
853,0,0,0,0,0
854,0,0,0,0,0
855,1,1,NA,NA,NA
856,0,0,0,0,NA
857,1,1,1,1,NA
858,1,1,1,0,NA
859,1,0,1,0,NA
860,0,0,0,0,0
861,0,0,0,0,0
862,1,1,1,0,0
863,1,1,1,0,0
864,0,0,0,0,0
865,0,0,0,0,0
866,0,0,0,0,NA
867,1,0,0,0,NA
868,1,1,1,0,NA
869,1,0,0,1,NA
870,0,0,0,0,0
871,0,0,0,0,0
872,0,0,0,0,0
873,1,1,1,1,0
874,1,1,1,1,1
875,1,1,1,1,1
876,1,0,0,0,0
877,0,0,0,0,0
878,0,0,0,0,0
879,1,0,0,0,0
880,1,1,1,1,0
881,0,0,0,0,0
882,0,0,0,0,0
883,0,0,0,0,0
884,0,0,0,0,0
885,0,0,0,0,0
886,1,1,1,1,1
887,1,1,1,1,0
888,1,1,1,0,0
889,0,0,0,0,0
890,0,0,0,0,0
891,0,0,0,0,0
892,0,0,0,0,0
893,1,0,1,0,0
894,1,1,1,1,0
895,1,1,1,1,0
896,0,0,0,0,0
897,0,0,0,0,0
898,0,0,0,0,0
899,0,0,0,0,0
900,0,0,0,0,0
901,1,1,1,0,0
902,0,0,0,0,0
903,1,0,0,0,0
904,0,0,0,0,0
905,0,0,0,0,0
906,0,0,0,0,0
907,1,0,0,0,0
908,0,0,0,0,0
909,1,1,0,0,0
910,1,1,0,0,1
911,0,0,0,0,0
912,0,0,0,0,0
913,0,0,0,0,0
914,1,1,1,1,1
915,1,1,1,1,1
916,1,1,1,1,0
917,1,1,1,0,0
918,1,1,1,0,0
919,0,0,0,0,0
920,1,1,1,1,1
921,1,1,1,1,0
922,1,1,0,0,0
923,1,1,1,1,1
924,1,1,1,0,0
925,NA,1,1,1,1
926,NA,1,1,1,1
927,1,1,1,0,0
928,1,1,0,0,1
929,1,1,0,0,0
930,1,0,0,0,1
931,1,1,0,0,0
932,0,0,0,0,0
933,0,0,0,0,0
934,0,0,0,0,0
935,0,0,0,0,0
936,1,0,0,0,0
937,1,1,0,0,0
938,1,1,1,1,0
939,1,1,1,1,1
940,0,0,0,0,0
941,1,1,1,1,1
942,NA,0,0,0,0
943,NA,0,1,0,0
944,NA,1,1,1,1
945,NA,1,1,1,1
946,1,1,1,0,0
947,1,1,1,0,0
948,1,1,1,1,1
949,1,1,1,0,0
950,NA,1,1,1,0
951,NA,0,0,0,0
952,1,0,1,0,0
953,1,1,0,0,0
954,1,1,1,0,NA
955,NA,1,1,1,0
956,NA,0,0,0,0
957,1,1,1,0,0
958,0,0,0,0,0
